Date : 2025-03-23 11:25:16
Directory : c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory
Total : 77 files,  13584 codes, 323 comments, 949 blanks, all 14856 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\evaluate.md          | Markdown           |         10 |          0 |          0 |         10 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\machine.md           | Markdown           |        184 |          0 |         31 |        215 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\synthesis.md         | Markdown           |          6 |          0 |          0 |          6 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\prompt\test.json            | JSON               |         92 |          0 |          0 |         92 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\game\room-manager.js             | JavaScript         |        151 |          8 |         25 |        184 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\gpt-config.js                    | JavaScript         |         13 |          0 |          0 |         13 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\mid.js                           | JavaScript         |         16 |          0 |          2 |         18 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\model.js                         | JavaScript         |        287 |          8 |         21 |        316 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\public\stylesheets\style.css     | CSS                |          1 |          0 |          0 |          1 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\routes\game.js                   | JavaScript         |        474 |        122 |         64 |        660 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\routes\index.js                  | JavaScript         |          6 |          0 |          4 |         10 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\routes\users.js                  | JavaScript         |        162 |         13 |         34 |        209 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\scripts\init-db.js               | JavaScript         |         26 |          4 |          6 |         36 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\test\mgame.test.js               | JavaScript         |         85 |          1 |         25 |        111 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\test\test.js                     | JavaScript         |         14 |          0 |          3 |         17 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\test\user.test.js                | JavaScript         |        122 |          0 |         26 |        148 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\server\src\uitls.js                         | JavaScript         |         64 |          0 |          9 |         73 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\weitiao\main.py                             | Python             |         70 |          4 |         14 |         88 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\weitiao\model.json                          | JSON               |         43 |          0 |          0 |         43 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\weitiao\test.py                             | Python             |         29 |          5 |          4 |         38 |
| c:\Users\nightscratch\Desktop\cat_ingredients\cat_ingredients\weird-factory\weitiao\testi.py                            | Python             |          6 |          0 |          2 |          8 |
| Total                                                                                                                   |                    |     13,584 |        323 |        949 |     14,856 |
+-------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
